Date : 2025-05-28 12:12:34
Directory : c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app
Total : 83 files,  29504 codes, 841 comments, 1568 blanks, all 31913 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     19,210 |          0 |          3 |     19,213 |
| JavaScript |         43 |      6,224 |        279 |        689 |      7,192 |
| SCSS       |         32 |      4,021 |        562 |        864 |      5,447 |
| HTML       |          1 |         21 |          0 |          1 |         22 |
| CSS        |          1 |         17 |          0 |          3 |         20 |
| Markdown   |          1 |         10 |          0 |          8 |         18 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         83 |     29,504 |        841 |      1,568 |     31,913 |
| . (Files)                                                                                                     |          5 |     19,207 |          0 |         12 |     19,219 |
| public                                                                                                        |          2 |         46 |          0 |          2 |         48 |
| src                                                                                                           |         76 |     10,251 |        841 |      1,554 |     12,646 |
| src (Files)                                                                                                   |          8 |        130 |         30 |         25 |        185 |
| src\components                                                                                                |         65 |      9,813 |        785 |      1,481 |     12,079 |
| src\components\AccountPage                                                                                    |         11 |      1,693 |         61 |        244 |      1,998 |
| src\components\AccountPage (Files)                                                                            |          3 |        842 |         41 |        128 |      1,011 |
| src\components\AccountPage\AchieveComp                                                                        |          2 |        213 |          0 |         28 |        241 |
| src\components\AccountPage\HistoryComp                                                                        |          2 |        242 |          2 |         28 |        272 |
| src\components\AccountPage\ProjectComp                                                                        |          2 |        191 |         14 |         32 |        237 |
| src\components\AccountPage\SkillComp                                                                          |          2 |        205 |          4 |         28 |        237 |
| src\components\AdminDashBoard                                                                                 |          2 |      1,631 |          6 |        221 |      1,858 |
| src\components\AdminPanel                                                                                     |          2 |        301 |          4 |         45 |        350 |
| src\components\ContactDashBoard                                                                               |         13 |        963 |        357 |        168 |      1,488 |
| src\components\ContactDashBoard (Files)                                                                       |          1 |         23 |          9 |          4 |         36 |
| src\components\ContactDashBoard\DashBoardContact                                                              |          2 |        206 |          7 |         31 |        244 |
| src\components\ContactDashBoard\DashBoardFAQ                                                                  |          2 |        157 |         13 |         20 |        190 |
| src\components\ContactDashBoard\DashBoardLayout                                                               |          2 |         45 |          3 |          7 |         55 |
| src\components\ContactDashBoard\DashBoardStatistic                                                            |          2 |          0 |        303 |         44 |        347 |
